Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"DELETED-phone-1122-fat-ascii.txt","ocean? 
ascii ====>«800-555-1122«1313 <==== fat harbo","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-1122-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",1230,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-phone-3270-fat-ascii.txt","r bass. 
ascii ====>«202.555.3270«1393 <==== fat sea h","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-3270-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",1216,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-phone-9009-fat-ascii.txt","ss carp 
ascii ====>«301.555-9009«1332 <==== fat carp","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-9009-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",1209,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-phone-1122-ntfs-ascii.txt","ll, sea 
ascii ====>«800-555-1122«1316 <==== ntfs rive","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-phone-1122-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST",1197,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-phone-1122-exfat-ascii.txt","k tuna. 
ascii ====>«800-555-1122«1314 <==== exfat riv","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-phone-1122-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:36 CEST","2018-07-25 14:03:37 CEST",1210,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-phone-3270-ntfs-ascii.txt","a river

ascii ====>«202.555.3270«1396 <==== ntfs carp","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-phone-3270-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST",1261,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-phone-9009-fat-utf-16-be.txt","bom utf 16 be ====>«301.555-9009«1335 <==== fat kingc","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-9009-fat-utf-16-be.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",2460,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-phone-3270-exfat-ascii.txt","k
creek 
ascii ====>«202.555.3270«1394 <==== exfat pon","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-phone-3270-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:36 CEST","2018-07-25 14:03:37 CEST",1216,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-phone-9009-ntfs-ascii.txt","or bass 
ascii ====>«301.555-9009«1344 <==== ntfs shar","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-phone-9009-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST",1199,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-phone-9009-fat-utf-16-le.txt","bom utf 16 le ====>«301.555-9009«1334 <==== fat carp","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-9009-fat-utf-16-le.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",2472,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-phone-9009-exfat-ascii.txt","d
bass, 
ascii ====>«301.555-9009«1336 <==== exfat tro","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-phone-9009-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:36 CEST","2018-07-25 14:03:37 CEST",1240,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-phone-9009-ntfs-utf-16-be.txt","bom utf 16 be ====>«301.555-9009«1347 <==== ntfs tuna","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-phone-9009-ntfs-utf-16-be.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST","2018-07-25 20:03:10 CEST",2376,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-phone-9009-fat-utf-8.txt","ay trout 
utf8 ====>«301.555-9009«1333 <==== fat bass","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-phone-9009-fat-utf-8.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:28 CEST",1207,Unallocated,Unallocated,unknown,,,text/plain,txt
