Name,"Keyword Preview",Location,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
"LIVE-thunderbird-exfat-ascii.txt-slack","live-«thunderbird«-exfat-ascii.txt-sla","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-thunderbird-exfat-ascii.txt-slack","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:38 CEST","2018-07-25 14:03:38 CEST",2873,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
"DELETED-thunderbird-ntfs-ascii.txt","deleted-«thunderbird«-ntfs-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-thunderbird-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:07 CEST","2018-07-25 20:03:07 CEST","2018-07-25 20:03:07 CEST",1242,Unallocated,Unallocated,unknown,,,text/plain,txt
"Unalloc_2086_7992320_499999744","n bass 
ascii ====> «thunderbird« 0929 <==== fat carp","/img_ss-win-07-25-18.dd/vol_vol4/$Unalloc/Unalloc_2086_7992320_499999744","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",491003904,Unallocated,Unallocated,unknown,,,application/octet-stream,
"DELETED-thunderbird-ntfs-ascii.txt-slack","deleted-«thunderbird«-ntfs-ascii.txt-slac","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-thunderbird-ntfs-ascii.txt-slack","2018-07-24 23:15:14 CEST","2018-07-25 20:03:07 CEST","2018-07-25 20:03:07 CEST","2018-07-25 20:03:07 CEST",2854,Unallocated,Unallocated,unknown,,,application/octet-stream,txt-slack
"Unalloc_2088_1000634368_1499999232","brook 
ascii ====> «thunderbird« 0931 <==== exfat tu","/img_ss-win-07-25-18.dd/vol_vol6/$Unalloc/Unalloc_2088_1000634368_1499999232","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",498557952,Unallocated,Unallocated,unknown,,,application/octet-stream,
"Unalloc_2090_1500142592_1999997952",". trout
ascii ====> «thunderbird« 0933 <==== ntfs sea","/img_ss-win-07-25-18.dd/vol_vol7/$Unalloc/Unalloc_2090_1500142592_1999997952","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",486105088,Unallocated,Unallocated,unknown,,,application/octet-stream,
"Unalloc_508_499999744_999999488","d
pond 
ascii ====> «thunderbird« 0934 <==== unalloc","/img_ss-win-07-25-18.dd/vol_vol5/Unalloc_508_499999744_999999488","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",499999744,Unallocated,Unallocated,unknown,,,application/octet-stream,
"LIVE-thunderbird-fat-ascii.txt","live-«thunderbird«-fat-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol4/fat/LIVE-thunderbird-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:34 CEST",1217,Allocated,Allocated,unknown,,,text/plain,txt
"DELETED-thunderbird-exfat-ascii.txt","deleted-«thunderbird«-exfat-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol6/exfat/DELETED-thunderbird-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:34 CEST","2018-07-25 14:03:34 CEST",1207,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-thunderbird-fat-ascii.txt-slack","live-«thunderbird«-fat-ascii.txt-slac","/img_ss-win-07-25-18.dd/vol_vol4/fat/LIVE-thunderbird-fat-ascii.txt-slack","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:34 CEST",2879,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
"DELETED-thunderbird-exfat-ascii.txt-slack","deleted-«thunderbird«-exfat-ascii.txt-sla","/img_ss-win-07-25-18.dd/vol_vol6/exfat/DELETED-thunderbird-exfat-ascii.txt-slack","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:34 CEST","2018-07-25 14:03:34 CEST",2889,Unallocated,Unallocated,unknown,,,application/octet-stream,txt-slack
"$LogFile",".
file0
(8`8@
/eted-«thunderbird«-ntfs-ascii.txt
file","/img_ss-win-07-25-18.dd/vol_vol7/$LogFile","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST",4308992,Allocated,Allocated,unknown,,,application/octet-stream,
"$MFT",".txt
file0
""deleted-«thunderbird«-ntfs-ascii.txt
file","/img_ss-win-07-25-18.dd/vol_vol7/$MFT","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST","2018-07-25 19:07:31 CEST",524288,Allocated,Allocated,unknown,,,application/octet-stream,
"LIVE-thunderbird-ntfs-ascii.txt","live-«thunderbird«-ntfs-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-thunderbird-ntfs-ascii.txt","2018-07-24 23:15:14 CEST","2018-07-25 20:03:11 CEST","2018-07-25 20:03:11 CEST","2018-07-25 20:03:11 CEST",1192,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-thunderbird-ntfs-ascii.txt-slack","live-«thunderbird«-ntfs-ascii.txt-slac","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-thunderbird-ntfs-ascii.txt-slack","2018-07-24 23:15:14 CEST","2018-07-25 20:03:11 CEST","2018-07-25 20:03:11 CEST","2018-07-25 20:03:11 CEST",2904,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
"LIVE-thunderbird-ntfs-ascii.txt","live-«thunderbird«-ntfs-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-thunderbird-ntfs-ascii.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,,,application/octet-stream,txt
"DELETED-thunderbird-fat-ascii.txt","deleted-«thunderbird«-fat-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-thunderbird-fat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:29 CEST",1212,Unallocated,Unallocated,unknown,,,text/plain,txt
"LIVE-thunderbird-ntfs-ascii.txt","live-«thunderbird«-ntfs-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-thunderbird-ntfs-ascii.txt","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,,,application/octet-stream,txt
"DELETED-thunderbird-fat-ascii.txt-slack","deleted-«thunderbird«-fat-ascii.txt-slac","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-thunderbird-fat-ascii.txt-slack","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:29 CEST",2884,Unallocated,Unallocated,unknown,,,application/octet-stream,txt-slack
"LIVE-thunderbird-exfat-ascii.txt","live-«thunderbird«-exfat-ascii.tx","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-thunderbird-exfat-ascii.txt","2018-07-24 17:15:14 CEST","0000-00-00 00:00:00","2018-07-25 14:03:38 CEST","2018-07-25 14:03:38 CEST",1223,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-cañón-exfat-utf-8.txt-slack","live-«cañón«-exfat-utf-8.txt-sla","/img_ss-win-07-25-18.dd/vol_vol6/exfat/LIVE-cañón-exfat-utf-8.txt-slack","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 14:03:34 CEST","2018-07-25 14:03:35 CEST",2898,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
LIVE-cañón-fat-utf-8.txt,"live-«cañón«-fat-utf-8.tx","/img_ss-win-07-25-18.dd/vol_vol4/fat/LIVE-cañón-fat-utf-8.txt","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:31 CEST",1178,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-cañón-fat-utf-8.txt-slack","live-«cañón«-fat-utf-8.txt-slac","/img_ss-win-07-25-18.dd/vol_vol4/fat/LIVE-cañón-fat-utf-8.txt-slack","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:31 CEST",2918,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
"DELETED-cañón-exfat-utf-8.txt","deleted-«cañón«-exfat-utf-8.tx","/img_ss-win-07-25-18.dd/vol_vol6/exfat/DELETED-cañón-exfat-utf-8.txt","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 14:03:30 CEST","2018-07-25 14:03:31 CEST",1198,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-cañón-exfat-utf-8.txt-slack","deleted-«cañón«-exfat-utf-8.txt-sla","/img_ss-win-07-25-18.dd/vol_vol6/exfat/DELETED-cañón-exfat-utf-8.txt-slack","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 14:03:30 CEST","2018-07-25 14:03:31 CEST",2898,Unallocated,Unallocated,unknown,,,application/octet-stream,txt-slack
"LIVE-cañón-ntfs-utf-8.txt","live-«cañón«-ntfs-utf-8.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-cañón-ntfs-utf-8.txt","2018-07-24 23:15:16 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST",1231,Allocated,Allocated,unknown,,,text/plain,txt
"LIVE-cañón-ntfs-utf-8.txt-slack","live-«cañón«-ntfs-utf-8.txt-slac","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/LIVE-cañón-ntfs-utf-8.txt-slack","2018-07-24 23:15:16 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST","2018-07-25 20:03:08 CEST",2865,Allocated,Allocated,unknown,,,application/octet-stream,txt-slack
"DELETED-cañón-fat-utf-8.txt","deleted-«cañón«-fat-utf-8.tx","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-cañón-fat-utf-8.txt","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:26 CEST",1179,Unallocated,Unallocated,unknown,,,text/plain,txt
"DELETED-cañón-fat-utf-8.txt-slack","deleted-«cañón«-fat-utf-8.txt-slac","/img_ss-win-07-25-18.dd/vol_vol4/fat/DELETED-cañón-fat-utf-8.txt-slack","2018-07-24 17:15:16 CEST","0000-00-00 00:00:00","2018-07-25 00:00:00 CEST","2018-07-25 14:02:26 CEST",2917,Unallocated,Unallocated,unknown,,,application/octet-stream,txt-slack
"DELETED-cañón-ntfs-utf-8.txt","deleted-«cañón«-ntfs-utf-8.tx","/img_ss-win-07-25-18.dd/vol_vol7/ntfs/DELETED-cañón-ntfs-utf-8.txt","2018-07-24 23:15:16 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST","2018-07-25 20:03:04 CEST",1175,Unallocated,Unallocated,unknown,,,text/plain,txt
